Designator,Mid X,Mid Y,Layer,Rotation
C1,193.699500,-120.000000,Top,180.000000
C2,194.024500,-133.000000,Top,180.000000
C3,193.962500,-145.550000,Top,180.000000
C4,193.762500,-158.700000,Top,180.000000
C5,88.750000,-25.125000,Top,90.000000
C6,103.900000,-25.000000,Top,90.000000
C7,119.200000,-25.300000,Top,90.000000
C8,134.000000,-25.100000,Top,90.000000
C9,133.225000,-34.900000,Top,90.000000
C10,119.287500,-34.987500,Top,90.000000
C11,104.037500,-34.725000,Top,90.000000
C12,89.125000,-34.600000,Top,90.000000
C13,88.700000,-44.750000,Top,90.000000
C14,104.000000,-44.800000,Top,90.000000
C15,119.062500,-44.525000,Top,90.000000
C16,133.375000,-44.700000,Top,90.000000
C17,133.437500,-54.550000,Top,90.000000
C18,118.800000,-54.675000,Top,90.000000
C19,103.937500,-54.750000,Top,90.000000
C20,88.600000,-54.375000,Top,90.000000
C21,88.387500,-64.600000,Top,90.000000
C22,103.725000,-64.525000,Top,90.000000
C23,118.925000,-64.725000,Top,90.000000
C24,133.325000,-64.500000,Top,90.000000
C25,133.275000,-74.012500,Top,90.000000
C26,118.775000,-74.462500,Top,90.000000
C27,103.575000,-74.262500,Top,90.000000
C28,88.187500,-74.212500,Top,90.000000
C29,88.300000,-89.600000,Top,90.000000
C30,103.837500,-89.775000,Top,90.000000
C31,119.000000,-89.800000,Top,90.000000
C32,133.437500,-89.625000,Top,90.000000
C33,88.525000,-99.300000,Top,90.000000
C34,104.100000,-99.200000,Top,90.000000
C35,119.287500,-99.425000,Top,90.000000
C36,133.675000,-99.400000,Top,90.000000
C37,88.300000,-109.300000,Top,90.000000
C38,103.725000,-109.150000,Top,90.000000
C39,119.100000,-109.550000,Top,90.000000
C40,133.525000,-109.300000,Top,90.000000
C41,88.300000,-119.300000,Top,90.000000
C42,103.500000,-119.425000,Top,90.000000
C43,118.487500,-119.325000,Top,90.000000
C44,133.087500,-119.325000,Top,90.000000
C45,88.200000,-129.025000,Top,90.000000
C46,103.225000,-129.150000,Top,90.000000
C47,118.637500,-129.375000,Top,90.000000
C48,132.937500,-129.125000,Top,90.000000
